kepid,kepoi_name,kepler_name,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,koi_kepmag,koi_disposition,lc_points,lc_flux_mean,lc_flux_std,lc_time_span_days,bls_best_period,bls_best_power,folded_med_depth,folded_odd_even_ratio,artifacts
10797460,K00752.01,Kepler-227 b,9.48803557,170.53875,2.9575,615.8,2.26,793.0,5455.0,4.467,0.927,15.347,CONFIRMED,64814,1.0000032232141913,0.0005499676402197021,1459.4892205698052,54.419883976795354,2.3187382899968985e-05,-1.875175650056793e-05,1.000020753387454,"{""plots"": {""raw_lc"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_raw_lc.png"", ""folded"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_folded.png"", ""bls"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_bls.png""}, ""animation"": null}"
10797460,K00752.02,Kepler-227 c,54.4183827,162.51384,4.507,874.8,2.83,443.0,5455.0,4.467,0.927,15.347,CONFIRMED,64814,1.0000032232141913,0.0005499676402197021,1459.4892205698052,54.419883976795354,2.3187382899968985e-05,-2.0641988529579436e-06,1.0000018516941622,"{""plots"": {""raw_lc"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_raw_lc.png"", ""folded"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_folded.png"", ""bls"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10797460_bls.png""}, ""animation"": null}"
10811496,K00753.01,,19.89913995,175.850252,1.7822,10829.0,14.6,638.0,5853.0,4.544,0.868,15.436,CANDIDATE,51731,1.000102803296119,0.00384553506399489,1459.4891832581561,6.849369873974794,0.0012958800750303724,-0.0001298739638599944,1.0000125159976108,"{""plots"": {""raw_lc"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10811496_raw_lc.png"", ""folded"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10811496_folded.png"", ""bls"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10811496_bls.png""}, ""animation"": null}"
10848459,K00754.01,,1.736952453,170.307565,2.40641,8079.2,33.46,1395.0,5805.0,4.564,0.791,15.597,FALSE POSITIVE,51502,0.999753518356322,0.001489997214535681,1459.4892900485647,13.895379075815162,0.0047984509777084265,-0.0003739099072010976,0.9999205497542264,"{""plots"": {""raw_lc"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10848459_raw_lc.png"", ""folded"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10848459_folded.png"", ""bls"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10848459_bls.png""}, ""animation"": null}"
10854555,K00755.01,Kepler-664 b,2.525591777,171.59555,1.6545,603.3,2.75,1406.0,6031.0,4.438,1.046,15.509,CONFIRMED,284601,1.0000075642527215,0.002249138894820935,1421.2364409072834,74.32386477295458,0.00016799698150303494,0.0,1.0,"{""plots"": {""raw_lc"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10854555_raw_lc.png"", ""folded"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10854555_folded.png"", ""bls"": ""C:\\Roger\\goals\\creating\\blog\\NASA-Space-Apps\\outputs\\kic_10854555_bls.png""}, ""animation"": null}"
